Brief description,Notes,Loss of value from Industrial-1 as proportion of loss of value from Preindustrial-1,Loss of value of reverting to Preindustrial-1 as as proportion of loss of value of extinction,Loss of value of reverting to Industrial-1 as proportion of loss of value of extinction,Absolute loss of expected value from transitioning to Preindustrial-1,Absolute loss of expected value from transitioning to Industrial-1,perils-0,multiplanetary-0,preindustrial-1,industrial-1,perils-1,multiplanetary-1,preindustrial-2,industrial-2,perils-2,multiplanetary-2,preindustrial-3,industrial-3,perils-3,multiplanetary-3,preindustrial-4,industrial-4,perils-4,multiplanetary-4,preindustrial-5,industrial-5,perils-5,multiplanetary-5,preindustrial-6,industrial-6,perils-6,multiplanetary-6,preindustrial-7,industrial-7,perils-7,multiplanetary-7,preindustrial-8,industrial-8,perils-8,multiplanetary-8,preindustrial-9,industrial-9,perils-9,multiplanetary-9,MAX_PLANETS,MAX_CIVILISATIONS,MAX_PROGRESS_YEARS,perils_current_progress_year,perils_extinction_y_scale,perils_extinction_base_x_scale,perils_extinction_stretch_per_reboot,perils_extinction_per_civilisation_background_risk_numerator,perils_extinction_x_translation,perils_extinction_sharpness,perils_extinction_base_background_risk_denominator,perils_preindustrial_y_scale,perils_preindustrial_base_x_scale,perils_preindustrial_stretch_per_reboot,perils_preindustrial_per_civilisation_background_risk_numerator,perils_preindustrial_x_translation,perils_preindustrial_sharpness,perils_preindustrial_base_background_risk_denominator,perils_industrial_y_scale,perils_industrial_base_x_scale,perils_industrial_stretch_per_reboot,perils_industrial_per_civilisation_background_risk_numerator,perils_industrial_x_translation,perils_industrial_sharpness,perils_industrial_base_background_risk_denominator,perils_progress_year_n_algorithm,perils_progress_year_n_geometric_base,perils_progress_year_n_any_regression,perils_multiplanetary_base_x_scale,perils_multiplanetary_x_translation,perils_multiplanetary_y_scale,perils_multiplanetary_sharpness,perils_multiplanetary_scale_per_reboot,perils_multiplanetary_per_civilisation_background_risk_numerator,perils_multiplanetary_base_background_risk_denominator,perils_interstellar_y_scale,perils_interstellar_base_x_scale,perils_interstellar_x_translation,perils_interstellar_sharpness,perils_interstellar_stretch_per_reboot,perils_interstellar_per_civilisation_background_risk_numerator,perils_interstellar_base_background_risk_denominator,multiplanetary_extinction_two_planet_risk,multiplanetary_extinction_decay_rate,multiplanetary_extinction_min_risk,multiplanetary_extinction_x_translation,multiplanetary_preindustrial_two_planet_risk,multiplanetary_preindustrial_decay_rate,multiplanetary_preindustrial_min_risk,multiplanetary_preindustrial_x_translation,multiplanetary_industrial_two_planet_risk,multiplanetary_industrial_decay_rate,multiplanetary_industrial_min_risk,multiplanetary_industrial_x_translation,multiplanetary_n_planets_two_planet_risk,multiplanetary_n_planets_decay_rate,multiplanetary_n_planets_x_translation,multiplanetary_n_planets_min_risk,multiplanetary_n_planets_geometric_base,multiplanetary_perils,multiplanetary_interstellar_x_scale,multiplanetary_interstellar_y_scale,multiplanetary_interstellar_x_translation,multiplanetary_interstellar_sharpness,preperils_preindustrial_base_expected_time_in_years,preperils_preindustrial_extinction_probability_per_year_denominator,preperils_preindustrial_stretch_per_reboot,preperils_industrial_base_annual_extinction_probability_denominator,preperils_industrial_annual_extinction_probability_multiplier,preperils_industrial_base_expected_time_in_years,preperils_industrial_stretch_per_reboot,,,,,,,,,,,,,,,,,,,,
Sasha’s modified defaults except with increased max probability of preindustrial and industrial regressions to reach same values as in the x-stretched run,,0.4625624509,0.2506850729,0.1159575017,0.1510590993,0.0698742672,0.6025851382,0.678084274,0.451526039,0.532710871,0.5343464176,0.6555357856,0.3772633928,0.4487907148,0.4506380532,0.6238001752,0.2758382584,0.3309966961,0.3328236795,0.589494373,0.1684274238,0.2039578478,0.2054677992,0.5607321997,0.07992914231,0.09772128025,0.09869192847,0.5425582809,0.0249506995,0.03081278267,0.03122359131,0.5358853239,0.00507803081,0.006337616217,0.006451096323,0.534392087,0.0007023382601,0.000886315741,0.0009076462825,0.5341712766,6.67E-05,8.52E-05,8.79E-05,0.5341475947,20,10,3000,70,0.00035,90,3.5,1.05,15,6,184000,0.004,75,3.5,1.05,5,0.9,87000,0.0055,85,3.5,1.05,0,0.9,61000,exponential,1.4,0.026,90,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s modified defaults except with linear algorithm and increased max probability of preindustrial and industrial regressions to reach same values as in the x-stretched run,,0.8095917548,0.4856739828,0.393197652,0.1849267311,0.1497151568,0.3807630997,0.596575969,0.1958363686,0.231047943,0.231757314,0.5644277182,0.09410785383,0.1119502496,0.1124110657,0.5434082442,0.02849267058,0.03419025294,0.0343789709,0.5361612282,0.006127748101,0.007420420535,0.007475355783,0.5344706268,0.0009712268335,0.001187420843,0.001199215285,0.5341851167,0.0001113109811,0.0001374631228,0.0001392958374,0.5341510426,1.01E-05,1.26E-05,1.28E-05,0.5341478776,8.13E-07,1.03E-06,1.05E-06,0.5341476158,5.97E-08,7.62E-08,7.86E-08,0.5341475947,20,10,3000,70,0.00035,90,3.5,1.05,15,6,184000,0.004,75,3.5,1.05,5,0.9,87000,0.0055,85,3.5,1.05,0,0.9,61000,linear,,0.026,90,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s modified Covid defaults except with linear algorithm and increased max probability of preindustrial and industrial regressions to reach same values as in the x-stretched run,,0.8059320242,0.4809468978,0.3876105069,0.1814481244,0.1462348542,0.3772726786,0.5965732542,0.1958245542,0.2310378244,0.2317472354,0.5644253369,0.09409878072,0.1119413997,0.1124022256,0.5434072159,0.02848897183,0.03418643776,0.03437515359,0.5361609594,0.006126808153,0.007419424314,0.007474357699,0.5344705757,0.0009710528539,0.001187231997,0.001199025748,0.5341851099,0.0001112883799,0.0001374381118,0.0001392706774,0.5341510419,1.01E-05,1.26E-05,1.28E-05,0.5341478776,8.13E-07,1.03E-06,1.05E-06,0.5341476158,5.97E-08,7.62E-08,7.86E-08,0.5341475947,20,10,3000,68,0.00035,90.009,3.5,1.05,15,6,184000,0.004,75.0075,3.5,1.05,5,0.9,87000,0.0055,85.0085,3.5,1.05,0,0.9,61000,linear,,0.026,90.009,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13701.37,87000,1.05,87000,0.7,381.0381,1.34,,,,,,,,,,,,,,,,,,,,
"Sasha’s modified defaults except with linear algorithm and increased max probability of preindustrial and industrial regressions to reach same values as in the x-stretched run, with x-stretches multiplied by (8billion - 1)/8billion to represent the value of saving a single life",To represent the value of saving a single life in most pessimistic outlook,0.8095917548,0.4856739828,0.393197652,0.1849267311,0.1497151568,0.3807630997,0.596575969,0.1958363686,0.231047943,0.231757314,0.5644277182,0.09410785384,0.1119502496,0.1124110657,0.5434082442,0.02849267058,0.03419025294,0.03437897091,0.5361612282,0.006127748103,0.007420420537,0.007475355784,0.5344706268,0.0009712268337,0.001187420844,0.001199215285,0.5341851167,0.0001113109811,0.0001374631228,0.0001392958374,0.5341510426,1.01E-05,1.26E-05,1.28E-05,0.5341478776,8.13E-07,1.03E-06,1.05E-06,0.5341476158,5.97E-08,7.62E-08,7.86E-08,0.5341475947,20,10,3000,70,0.00035,89.99999999,3.5,1.05,15,6,184000,0.004,74.99999999,3.5,1.05,5,0.9,87000,0.0055,84.99999999,3.5,1.05,0,0.9,61000,linear,,0.026,89.99999999,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s modified defaults except with x-stretches multiplied by (8billion - 1)/8billion,to represent the value of saving a single life in default outlook,0.09235223242,0.16534204,0.01526970651,0.1163841296,0.01074833418,0.7038991991,0.7214346189,0.5875150696,0.693150865,0.6952789997,0.7132741459,0.5567089346,0.6622582669,0.6649842929,0.6948072814,0.4943091199,0.5931544322,0.5964284325,0.6602528963,0.3837547861,0.4647093595,0.4681497202,0.6079719474,0.2219599345,0.2713679684,0.2740634185,0.5564716659,0.06622541594,0.08178485531,0.08287524448,0.5374985327,0.009792185253,0.01222109798,0.01243992655,0.5344830351,0.0009635994072,0.001216014236,0.001245279475,0.5341744146,7.55E-05,9.64E-05,9.96E-05,0.5341475947,20,10,3000,70,0.00035,89.99999999,3.5,1.05,15,6,184000,0.0009,74.99999999,3.5,1.05,5,0.9,87000,0.0015,84.99999999,3.5,1.05,0,0.9,61000,exponential,1.4,0.026,89.99999999,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s modified defaults except with both extinction and multiplanetary progress rates slowed 10-fold,Representing a way of imagining differential technological progress,0.8139085878,0.4914040101,0.3999579439,0.2140423672,0.1742109208,0.4355730983,0.6047667729,0.2215307311,0.2613621775,0.2621646203,0.5700047794,0.1114408498,0.1325694981,0.1331151884,0.5496937126,0.04783146324,0.05739615814,0.05771296441,0.5395920687,0.01656824041,0.02006337554,0.02021190978,0.5355466371,0.004206354139,0.005142683879,0.00519376525,0.5344074673,0.0007709245556,0.0009520506945,0.0009647438241,0.5341817649,9.99E-05,0.0001246212572,0.0001268527008,0.534150953,9.65E-06,1.22E-05,1.25E-05,0.5341478628,7.55E-07,9.64E-07,9.96E-07,0.5341475947,20,10,3000,70,0.00035,900,3.5,1.05,15,6,184000,0.0009,75,3.5,1.05,5,0.9,87000,0.0015,85,3.5,1.05,0,0.9,61000,exponential,1.4,0.026,900,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s modified defaults except with all Time of Perils technological progress rates halved,,0.1790320087,0.1796628386,0.03216539888,0.1263852786,0.0226270103,0.7034580975,0.7181058565,0.5770728189,0.6808310872,0.6829213974,0.7050226045,0.5310638987,0.6317510557,0.6343515062,0.6784579796,0.4440064638,0.5327929252,0.5357337516,0.6338187554,0.3033122672,0.3672971766,0.3700163703,0.57661664,0.127687222,0.1561102552,0.1576608708,0.5426718355,0.02528756474,0.03122879327,0.03164514833,0.5351423432,0.0029068762,0.003627915315,0.003692876051,0.5342367001,0.0002559679274,0.0003230187163,0.0003307926549,0.5341544399,1.93E-05,2.46E-05,2.54E-05,0.5341475947,20,10,3000,70,0.00035,180,3.5,1.05,15,6,184000,0.0009,150,3.5,1.05,5,0.9,87000,0.0015,170,3.5,1.05,0,0.9,61000,exponential,1.4,0.026,180,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s modified defaults except with ToP extinction progress quartered and multplanetary progress halved,,0.3333433741,0.2124158284,0.07080740895,0.1457938881,0.04859942656,0.6863607536,0.7064685527,0.5405668655,0.637761327,0.639719403,0.685531842,0.4704883918,0.5596907245,0.5619945561,0.6514014245,0.360760304,0.4329003141,0.435289769,0.6068761103,0.2213223045,0.2680111104,0.2699952644,0.5629759594,0.08667521924,0.1059690264,0.107021598,0.540412345,0.01858467891,0.02295108689,0.02325708018,0.5349985058,0.002486551361,0.003103330567,0.003158898192,0.5342315499,0.0002411732359,0.0003043485559,0.0003116731686,0.5341542993,1.89E-05,2.41E-05,2.49E-05,0.5341475947,20,10,3000,70,0.00035,360,3.5,1.05,15,6,184000,0.0009,75,3.5,1.05,5,0.9,87000,0.0015,85,3.5,1.05,0,0.9,61000,exponential,1.4,0.026,180,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s modified defaults except with ToP extinction progress 1/8thed and multplanetary progress halved,,0.3337345131,0.2125140289,0.07092326597,0.1458800707,0.04868521438,0.6864491322,0.7064692527,0.5405690615,0.6377639178,0.6397220017,0.6855318892,0.4704885385,0.559690899,0.5619947313,0.6514014283,0.3607603158,0.4329003282,0.4352897832,0.6068761105,0.221322305,0.268011111,0.269995265,0.5629759594,0.08667521924,0.1059690264,0.107021598,0.540412345,0.01858467891,0.02295108689,0.02325708018,0.5349985058,0.002486551361,0.003103330567,0.003158898192,0.5342315499,0.0002411732359,0.0003043485559,0.0003116731686,0.5341542993,1.89E-05,2.41E-05,2.49E-05,0.5341475947,20,10,3000,70,0.00035,720,3.5,1.05,15,6,184000,0.0009,75,3.5,1.05,5,0.9,87000,0.0015,85,3.5,1.05,0,0.9,61000,exponential,1.4,0.026,180,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s modified defaults except with ToP extinction progress 1/100thed and multiplanetary progress halved,,0.3337395822,0.2125153021,0.07092476815,0.1458811889,0.04868632703,0.686450281,0.7064692625,0.5405690921,0.637763954,0.639722038,0.6855318899,0.4704885407,0.5596909016,0.5619947339,0.6514014284,0.3607603159,0.4329003284,0.4352897834,0.6068761105,0.221322305,0.268011111,0.269995265,0.5629759594,0.08667521924,0.1059690264,0.107021598,0.540412345,0.01858467891,0.02295108689,0.02325708018,0.5349985058,0.002486551361,0.003103330567,0.003158898192,0.5342315499,0.0002411732359,0.0003043485559,0.0003116731686,0.5341542993,1.89E-05,2.41E-05,2.49E-05,0.5341475947,20,10,3000,70,0.00035,9000,3.5,1.05,15,6,184000,0.0009,75,3.5,1.05,5,0.9,87000,0.0015,85,3.5,1.05,0,0.9,61000,exponential,1.4,0.026,180,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s modified defaults except with ToP extinction progress 1/100thed and multiplanetary progress halved and more permissive runtime constants,,0.3263462894,0.2106743282,0.06875278528,0.1448135696,0.0472593711,0.6873811862,0.7071063486,0.5425676166,0.6401218151,0.6420871383,0.6869346512,0.4748481947,0.5648771249,0.5672023051,0.6541978021,0.3693640488,0.4432245204,0.4456709612,0.6117472772,0.2361458968,0.2859617976,0.288078845,0.5694867403,0.1062505009,0.1299017438,0.1311920349,0.5430661843,0.02645741922,0.03267350113,0.03310911763,0.5354885769,0.003918648101,0.004890653224,0.004978224295,0.534288207,0.0004039284934,0.000509737547,0.0005220051593,0.5341597547,3.42E-05,4.37E-05,4.51E-05,0.534148568,2.68E-06,3.46E-06,3.61E-06,0.5341476705,2.03E-07,2.66E-07,2.82E-07,0.5341476005,1.52E-08,2.01E-08,2.17E-08,0.5341475951,1.12E-09,1.51E-09,1.67E-09,0.5341475947,7.85E-11,1.07E-10,1.23E-10,0.5341475947,20,15,4000,70,0.00035,9000,3.5,1.05,15,6,184000,0.0009,75,3.5,1.05,5,0.9,87000,0.0015,85,3.5,1.05,0,0.9,61000,exponential,1.4,0.026,180,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34
Sasha’s modified defaults except with ToP extinction and multiplanetary progress slowed tenfold,,0.9756963484,0.4068762159,0.3969876382,0.1818048373,0.1773863159,0.4468308301,0.606950593,0.2650259928,0.2694445142,0.2702717717,0.5711046999,0.1342843652,0.1366360725,0.1371985019,0.5500948656,0.0578136409,0.05887721193,0.05920219308,0.5396958461,0.02005817657,0.02044580486,0.02059717031,0.5355656534,0.005108868805,0.005212584998,0.005264360684,0.5344099093,0.0009409296878,0.0009609969093,0.0009738093136,0.5341819988,0.0001227245568,0.0001254742282,0.000127720945,0.5341509706,1.2E-05,1.22E-05,1.25E-05,0.5341478628,9.41E-07,9.64E-07,9.96E-07,0.5341475947,20,10,3000,70,0.00035,900,3.5,1.05,15,6,184000,0.0009,75,3.5,1.05,5,0.9,87000,0.0015,85,3.5,1.05,0,0.9,61000,exponential,1.4,0.026,900,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,1370,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s modified defaults except highly optimistic preperils assumptions and ToP extinction and multiplanetary progress slowed tenfold,,0.9973336681,0.3829576373,0.3819365452,0.1751179547,0.1746510321,0.457277614,0.610284729,0.2821596594,0.2826265819,0.2826493229,0.5739892433,0.1476361815,0.1478927185,0.1479069985,0.5521316065,0.06663401739,0.06675559717,0.06676333207,0.5408865779,0.02496629792,0.02501413103,0.0250176091,0.5361491902,0.007414510116,0.007429426619,0.007430666258,0.5346486495,0.001855808841,0.001859729228,0.001860101601,0.5342551512,0.0003983102626,0.0003991938091,0.0003992897276,0.5341659624,6.8E-05,6.82E-05,6.82E-05,0.5341497516,7.99E-06,8E-06,8.01E-06,0.5341475947,20,10,3000,70,0.00035,900,3.5,1.05,15,6,1840000,0.0009,75,3.5,1.05,5,0.9,870000,0.0015,85,3.5,1.05,0,0.9,610000,exponential,1.4,0.026,900,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,1370,870000,1.05,870000,0.7,100,1.2,,,,,,,,,,,,,,,,,,,,
Sasha’s modified defaults except extremely optimistic preperils assumptions and ToP extinction slowed tenfold with multiplanetary progress halved,,0.9888625752,0.05141196491,0.05083936802,0.03633171282,0.0359270711,0.706678161,0.7148420838,0.6703464482,0.6707510899,0.6708050605,0.696540439,0.6024225239,0.6028043525,0.6028625571,0.6648386457,0.4847948728,0.4851175152,0.4851737252,0.6207656349,0.3212891137,0.3215136341,0.3215583387,0.5738322354,0.1471915451,0.147299549,0.1473241267,0.5459386112,0.04373017741,0.04376387007,0.0437726329,0.5368014782,0.009841872557,0.009849834691,0.009852201414,0.5346058154,0.001699151875,0.001700595259,0.001701085615,0.5342015079,0.0001998985399,0.0002000768426,0.0002001460736,0.5341475947,20,10,3000,70,0.00035,900,3.5,1.05,15,6,1840000,0.0009,75,3.5,1.05,5,0.9,870000,0.0015,85,3.5,1.05,0,0.9,610000,exponential,1.4,0.026,180,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,500,870000,1.05,870000,0.7,100,1.2,,,,,,,,,,,,,,,,,,,,
Sasha’s modified defaults except extremely optimistic preperils assumptions and ToP extinction slowed eightfold with multiplanetary progress halved,,0.9888623142,0.05141082189,0.05083822431,0.03633085977,0.03592621807,0.7066772798,0.7148420762,0.6703464201,0.6707510618,0.6708050324,0.6965404384,0.6024225219,0.6028043504,0.6028625551,0.6648386456,0.4847948727,0.485117515,0.485173725,0.6207656349,0.3212891136,0.3215136341,0.3215583387,0.5738322354,0.1471915451,0.147299549,0.1473241267,0.5459386112,0.04373017741,0.04376387007,0.0437726329,0.5368014782,0.009841872557,0.009849834691,0.009852201414,0.5346058154,0.001699151875,0.001700595259,0.001701085615,0.5342015079,0.0001998985399,0.0002000768426,0.0002001460736,0.5341475947,20,10,3000,70,0.00035,720,3.5,1.05,15,6,1840000,0.0009,75,3.5,1.05,5,0.9,870000,0.0015,85,3.5,1.05,0,0.9,610000,exponential,1.4,0.026,180,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,500,870000,1.05,870000,0.7,100,1.2,,,,,,,,,,,,,,,,,,,,
Sasha’s modified defaults except extremely optimistic preperils assumptions and ToP extinction slowed eightfold with multiplanetary progress slowed slightly more than half (x10/21),,0.9898393053,0.05607696791,0.05550718696,0.03948238519,0.03908121673,0.7040748932,0.7132910869,0.664592508,0.6649936765,0.6650471839,0.6937753222,0.592164876,0.592540203,0.5925974166,0.6608584845,0.4700305741,0.4703433905,0.4703978886,0.6164904291,0.30543125,0.3056446888,0.3056871869,0.5708963061,0.1363020937,0.1364021074,0.1364248668,0.5449058693,0.03989997462,0.03993071624,0.03993871155,0.5365579677,0.008938818888,0.008946050445,0.008948200007,0.5345633107,0.001541537891,0.001542847386,0.001543292257,0.5341964968,0.0001813184925,0.0001814802224,0.0001815430186,0.5341475947,20,10,3000,70,0.00035,720,3.5,1.05,15,6,1840000,0.0009,75,3.5,1.05,5,0.9,870000,0.0015,85,3.5,1.05,0,0.9,610000,exponential,1.4,0.026,189,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,500,870000,1.05,870000,0.7,100,1.2,,,,,,,,,,,,,,,,,,,,
Sasha’s modified defaults except extremely optimistic preperils assumptions and ToP extinction slowed eightfold with multiplanetary progress slowed a bit more than half (x5/11),,0.9906820928,0.06084043997,0.06027353439,0.0426718834,0.04227427075,0.7013736822,0.7117032233,0.6587017988,0.6590994114,0.6591524446,0.6910008516,0.5818725284,0.5822413319,0.5822975511,0.6569747544,0.4556239837,0.4559272121,0.4559800399,0.6124573591,0.2904715317,0.2906745165,0.2907149331,0.5682496176,0.1264854452,0.1265782558,0.126599376,0.5440006288,0.03654264512,0.03657080002,0.03657812259,0.5363463647,0.00815409351,0.00816069022,0.008162651075,0.5345264528,0.001404863312,0.001406056706,0.001406462133,0.5341921532,0.0001652132031,0.0001653605677,0.0001654177861,0.5341475947,20,10,3000,70,0.00035,720,3.5,1.05,15,6,1840000,0.0009,75,3.5,1.05,5,0.9,870000,0.0015,85,3.5,1.05,0,0.9,610000,exponential,1.4,0.026,198,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,500,870000,1.05,870000,0.7,100,1.2,,,,,,,,,,,,,,,,,,,,
Sasha’s modified defaults except extremely optimistic preperils assumptions and ToP extinction slowed 100-fold with multiplanetary progress slowed a bit more than half (x5/11),,0.9906824195,0.06084244342,0.06027553905,0.04267338301,0.04227577033,0.7013752344,0.7117032375,0.6587018514,0.6590994641,0.6591524972,0.6910008526,0.5818725323,0.5822413358,0.5822975549,0.6569747545,0.455623984,0.4559272124,0.4559800402,0.6124573591,0.2904715317,0.2906745165,0.2907149331,0.5682496176,0.1264854452,0.1265782558,0.126599376,0.5440006288,0.03654264512,0.03657080002,0.03657812259,0.5363463647,0.00815409351,0.00816069022,0.008162651075,0.5345264528,0.001404863312,0.001406056706,0.001406462133,0.5341921532,0.0001652132031,0.0001653605677,0.0001654177861,0.5341475947,20,10,3000,70,0.00035,9000,3.5,1.05,15,6,1840000,0.0009,75,3.5,1.05,5,0.9,870000,0.0015,85,3.5,1.05,0,0.9,610000,exponential,1.4,0.026,198,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,500,870000,1.05,870000,0.7,100,1.2,,,,,,,,,,,,,,,,,,,,
Sasha’s modified defaults except multiplanetary perils progress accelerated 1.1x and extinction progress accelerated 10x,,0.328213269,0.2111362004,0.06929770255,0.143108547,0.04697012403,0.6778020382,0.7045962487,0.5346934912,0.6308319142,0.6327687152,0.6919551694,0.4904515057,0.5834387486,0.5858403332,0.6737691502,0.4295801244,0.5154817997,0.5183270749,0.6497067658,0.3516615433,0.4258459215,0.4289985664,0.6131676845,0.237581412,0.2904667693,0.2933519245,0.5607842947,0.07901903393,0.09758429094,0.09888532466,0.5382637733,0.0120283883,0.01501198232,0.01528078391,0.5345615464,0.001189134158,0.001500627806,0.001536742705,0.5341807056,9.33E-05,0.0001190648305,0.0001229201968,0.5341475947,20,10,3000,70,0.00035,9,3.5,1.05,15,6,184000,0.0009,75,3.5,1.05,5,0.9,87000,0.0015,85,3.5,1.05,0,0.9,61000,exponential,1.4,0.026,81,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s modified defaults except multiplanetary perils progress accelerated 1.1x and extinction progress accelerated 5x,,0.2402958426,0.1913784042,0.04598743489,0.1312336242,0.03153489431,0.6857284906,0.7109084964,0.5544948663,0.6541935963,0.6562021231,0.7043414966,0.5289470778,0.6292328957,0.6318229808,0.6922770297,0.4865241771,0.5838127608,0.5870351985,0.6654240794,0.3994913668,0.4837656335,0.4873470726,0.6161739618,0.2466200706,0.3015174233,0.3045123426,0.560786635,0.07902597628,0.09759286437,0.0988940124,0.5382637736,0.01202838933,0.01501198361,0.01528078523,0.5345615464,0.001189134158,0.001500627805,0.001536742705,0.5341807056,9.33E-05,0.0001190648306,0.0001229201968,0.5341475947,20,10,3000,70,0.00035,18,3.5,1.05,15,6,184000,0.0009,75,3.5,1.05,5,0.9,87000,0.0015,85,3.5,1.05,0,0.9,61000,exponential,1.4,0.026,81,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s modified defaults except multiplanetary perils progress accelerated 1.1x and extinction progress accelerated 2x,,0.0885941176,0.1647726023,0.01459788331,0.1148481969,0.01017487466,0.6970102754,0.7197282018,0.5821620784,0.6868354007,0.6889441455,0.7149584002,0.5619434428,0.6684852126,0.6712368704,0.6992702685,0.5080405996,0.6096317492,0.6129966984,0.6673590565,0.4053797531,0.4908961978,0.4945304263,0.6162147716,0.2467427693,0.3016674346,0.3046638439,0.5607866688,0.07902607654,0.09759298818,0.09889413786,0.5382637736,0.01202838935,0.01501198363,0.01528078525,0.5345615464,0.001189134158,0.001500627806,0.001536742705,0.5341807056,9.33E-05,0.0001190648306,0.0001229201968,0.5341475947,20,10,3000,70,0.00035,45,3.5,1.05,15,6,184000,0.0009,75,3.5,1.05,5,0.9,87000,0.0015,85,3.5,1.05,0,0.9,61000,exponential,1.4,0.026,81,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
